areaType,areaCode,areaName,date,Age[ 0- 4],Age[ 5- 9],Age[10-14],Age[15-19],Age[20-24],Age[25-29],Age[30-34],Age[35-39],Age[40-44],Age[45-49],Age[50-54],Age[55-59],Age[60-64],Age[65-69],Age[70-74],Age[75-79],Age[80-84],Age[85-89],Age[90+]
unknown,unknown,unknown,2020-02-11,4,0,1,8,6,57,4,41,417,347,3817,951,232,1595,217,11,25,23,16
unknown,unknown,unknown,2020-02-12,3,2,7,4,2,57,29,5,261,762,1655,1669,43,781,7,1,13,23,17
unknown,unknown,unknown,2020-02-13,4,2,7,4,44,35,33,34,253,1135,469,643,338,982,122,9,26,15,18
unknown,unknown,unknown,2020-02-14,1,0,7,0,49,56,13,32,465,1255,3489,3176,350,1548,205,43,20,18,18
unknown,unknown,unknown,2020-02-15,1,2,6,7,12,15,32,25,76,1108,2074,2154,497,1335,151,45,17,1,9
unknown,unknown,unknown,2020-02-16,1,3,7,9,0,52,55,22,85,1318,1530,787,445,1296,160,3,8,9,11
unknown,unknown,unknown,2020-02-17,3,1,2,1,45,27,0,1,339,1310,609,1408,75,591,80,27,14,14,17
unknown,unknown,unknown,2020-02-18,3,2,12,3,53,45,49,32,39,503,3217,1330,198,334,33,9,14,9,9
unknown,unknown,unknown,2020-02-19,0,2,4,9,35,10,1,27,213,50,1072,1088,774,1295,51,40,19,12,23
unknown,unknown,unknown,2020-02-20,2,1,9,4,37,47,36,24,337,443,3642,194,154,716,219,43,22,24,18
unknown,unknown,unknown,2020-02-21,0,1,10,5,21,59,47,24,271,1308,3119,2188,343,750,71,16,18,13,17
unknown,unknown,unknown,2020-02-22,2,0,0,5,5,16,1,27,477,550,233,2297,468,1291,26,7,1,7,20
unknown,unknown,unknown,2020-02-23,4,3,2,10,45,23,4,18,120,1101,2036,2112,26,1421,101,6,29,5,8
unknown,unknown,unknown,2020-02-24,4,0,11,1,1,46,47,36,81,578,3394,280,31,383,26,4,2,13,8
unknown,unknown,unknown,2020-02-25,3,0,3,6,55,30,28,12,357,56,435,1324,279,813,170,20,21,11,7
unknown,unknown,unknown,2020-02-26,3,3,11,7,46,13,0,35,263,1299,170,1863,265,1625,168,4,3,7,15
unknown,unknown,unknown,2020-02-27,3,0,12,2,43,57,11,37,384,1392,340,695,554,1146,16,40,7,14,37
unknown,unknown,unknown,2020-02-28,2,2,8,8,9,45,4,14,444,1153,2480,950,176,890,3,24,23,20,5
unknown,unknown,unknown,2020-02-29,2,3,6,0,40,18,38,6,0,672,2744,790,6,182,18,25,11,6,24
unknown,unknown,unknown,2020-03-01,4,1,3,4,53,32,34,46,397,766,275,2354,14,1686,6,60,12,24,1
unknown,unknown,unknown,2020-03-02,3,3,0,2,12,22,8,7,459,863,1782,2039,878,449,9,22,16,14,1
unknown,unknown,unknown,2020-03-03,0,2,11,9,1,39,2,46,397,748,1279,3065,610,790,0,53,27,1,1
unknown,unknown,unknown,2020-03-04,2,0,7,7,3,9,43,26,51,995,1175,1678,910,1084,114,34,22,2,34
unknown,unknown,unknown,2020-03-05,4,2,8,8,64,51,1,4,475,411,3074,1902,216,1623,12,48,30,7,25
unknown,unknown,unknown,2020-03-06,0,3,6,3,61,34,47,11,274,1138,1951,2420,506,126,48,53,6,2,10
unknown,unknown,unknown,2020-03-07,4,2,3,4,32,34,13,47,59,1214,2669,927,591,83,54,5,18,6,23
unknown,unknown,unknown,2020-03-08,4,2,5,2,1,47,52,0,301,570,2943,2658,889,524,101,1,14,19,19
unknown,unknown,unknown,2020-03-09,1,2,9,1,40,26,41,15,466,332,503,2435,231,195,6,7,26,12,34
unknown,unknown,unknown,2020-03-10,0,3,0,0,36,43,2,9,160,238,1798,2607,147,320,96,13,25,17,15
unknown,unknown,unknown,2020-03-11,1,1,7,8,59,24,8,24,197,269,2206,1631,665,402,98,30,12,4,32
unknown,unknown,unknown,2020-03-12,3,2,12,0,28,3,46,34,139,1175,2300,209,710,277,216,45,22,12,14
unknown,unknown,unknown,2020-03-13,4,0,9,2,54,26,37,6,77,680,2629,232,256,1369,90,55,27,14,33
unknown,unknown,unknown,2020-03-14,4,0,6,0,0,31,53,23,31,813,783,3039,391,1508,77,56,25,8,1
unknown,unknown,unknown,2020-03-15,4,0,1,10,29,57,18,28,144,515,1062,25,421,1336,39,57,14,5,23
unknown,unknown,unknown,2020-03-16,4,2,1,2,14,58,26,22,167,902,2990,496,311,964,106,21,11,15,26
unknown,unknown,unknown,2020-03-17,0,1,3,8,42,42,36,2,54,528,476,2426,658,1162,13,19,9,15,31
unknown,unknown,unknown,2020-03-18,2,2,11,9,47,9,40,8,305,1411,11,1597,7,1083,20,43,26,15,0
unknown,unknown,unknown,2020-03-19,3,0,3,0,38,24,12,3,374,1335,2812,2409,757,1505,208,32,22,16,5
unknown,unknown,unknown,2020-03-20,0,0,0,6,20,14,7,19,15,82,1555,1675,700,1455,137,28,8,6,29
unknown,unknown,unknown,2020-03-21,3,1,6,9,48,34,15,44,58,255,1656,1202,714,664,76,17,26,12,16
unknown,unknown,unknown,2020-03-22,3,2,10,1,51,25,22,7,76,1230,2098,257,867,450,41,50,17,10,14
unknown,unknown,unknown,2020-03-23,4,2,12,5,30,2,20,31,20,685,2472,1170,94,637,27,22,4,21,12
unknown,unknown,unknown,2020-03-24,4,2,9,2,0,48,31,11,142,404,1093,674,78,1553,141,60,9,17,29
unknown,unknown,unknown,2020-03-25,4,0,9,8,17,1,40,10,128,1003,880,713,747,202,176,33,4,0,9
unknown,unknown,unknown,2020-03-26,2,3,1,9,61,24,39,21,360,147,3488,588,558,1342,141,8,16,21,31
unknown,unknown,unknown,2020-03-27,3,2,0,3,28,8,34,45,150,182,2138,693,812,1274,80,24,7,7,11
unknown,unknown,unknown,2020-03-28,4,0,0,2,19,46,13,16,291,832,2957,748,448,487,130,25,4,3,5
unknown,unknown,unknown,2020-03-29,0,1,8,5,36,18,40,4,212,771,2652,1583,370,581,5,52,12,16,28
unknown,unknown,unknown,2020-03-30,3,0,3,5,55,30,30,10,392,950,2654,2834,162,824,16,7,12,9,27
unknown,unknown,unknown,2020-03-31,2,0,11,4,45,3,2,33,380,359,1363,3087,247,219,73,34,9,5,24
unknown,unknown,unknown,2020-04-01,0,1,0,5,63,14,49,48,324,1103,2963,3201,884,975,112,44,22,13,17
unknown,unknown,unknown,2020-04-02,1,3,2,10,35,10,10,32,25,209,2091,1443,648,1512,140,19,3,20,34
unknown,unknown,unknown,2020-04-03,4,3,0,0,62,32,10,10,469,1304,1451,423,620,806,173,48,30,17,30
unknown,unknown,unknown,2020-04-04,2,0,12,1,53,23,17,15,151,330,2182,3304,435,1505,109,40,27,15,6
unknown,unknown,unknown,2020-04-05,0,3,4,1,35,38,7,16,232,1033,70,2411,915,1489,2,48,10,16,36
unknown,unknown,unknown,2020-04-06,2,1,6,0,49,51,17,10,434,457,1553,2694,550,507,116,11,10,11,9
unknown,unknown,unknown,2020-04-07,1,0,1,1,5,14,44,35,259,1241,1291,772,482,948,201,34,16,14,28
unknown,unknown,unknown,2020-04-08,2,3,0,7,37,30,13,39,155,1113,3267,2791,603,897,148,37,0,13,39
unknown,unknown,unknown,2020-04-09,2,0,10,9,42,39,44,35,103,610,1890,2238,279,1270,34,38,1,8,25
unknown,unknown,unknown,2020-04-10,4,1,8,9,4,35,3,5,28,330,3360,1594,134,1292,61,56,15,8,10
unknown,unknown,unknown,2020-04-11,0,3,6,10,22,53,19,26,177,104,350,895,167,220,18,3,1,18,9
unknown,unknown,unknown,2020-04-12,4,2,2,0,18,41,46,26,359,329,1334,223,494,173,120,0,24,16,28
unknown,unknown,unknown,2020-04-13,0,2,12,5,48,47,54,19,115,489,1667,2329,798,759,16,53,27,22,22
unknown,unknown,unknown,2020-04-14,3,1,10,6,38,24,21,5,387,555,2604,2248,689,24,52,13,21,13,23
unknown,unknown,unknown,2020-04-15,3,3,8,3,31,50,28,11,43,1147,1985,3070,321,298,154,18,12,20,3
unknown,unknown,unknown,2020-04-16,0,0,4,4,41,36,33,14,444,1337,1263,2947,830,744,183,24,21,3,38
unknown,unknown,unknown,2020-04-17,0,3,4,5,13,36,11,17,215,818,33,2889,232,929,6,16,6,11,0
unknown,unknown,unknown,2020-04-18,1,3,12,3,15,39,37,44,459,93,123,47,490,1316,102,9,6,17,4
unknown,unknown,unknown,2020-04-19,3,0,8,6,56,57,31,12,373,129,2250,1011,80,938,45,19,18,5,36
unknown,unknown,unknown,2020-04-20,4,0,8,7,40,20,15,28,103,300,1664,652,464,70,21,26,7,6,33
unknown,unknown,unknown,2020-04-21,4,1,10,5,0,21,35,45,245,962,99,2759,789,879,69,17,14,20,40
unknown,unknown,unknown,2020-04-22,0,2,12,3,12,38,38,32,25,560,1278,3210,57,729,35,8,17,7,32
unknown,unknown,unknown,2020-04-23,3,3,3,2,62,7,37,38,164,1088,1050,1886,620,347,100,22,23,17,21
unknown,unknown,unknown,2020-04-24,2,1,11,2,18,48,42,0,259,844,1438,77,652,1139,187,2,15,4,40
unknown,unknown,unknown,2020-04-25,0,3,9,5,30,8,47,12,329,1294,848,2231,525,1130,1,10,23,13,14
unknown,unknown,unknown,2020-04-26,2,3,0,3,64,9,33,27,281,891,1876,2677,595,681,24,53,1,15,3
unknown,unknown,unknown,2020-04-27,3,2,8,1,3,3,40,24,39,994,1249,1925,763,18,27,28,26,15,39
unknown,unknown,unknown,2020-04-28,4,2,6,3,23,55,17,36,188,368,1703,34,922,468,21,48,27,12,36
unknown,unknown,unknown,2020-04-29,2,2,6,10,6,4,34,22,234,675,1779,848,347,906,29,59,5,21,22
unknown,unknown,unknown,2020-04-30,0,0,12,0,26,51,43,8,397,539,1986,85,652,1251,48,58,3,0,37
unknown,unknown,unknown,2020-05-01,3,2,2,6,23,16,40,18,326,1070,2099,1069,470,606,92,25,23,7,29
unknown,unknown,unknown,2020-05-02,3,0,9,0,24,5,34,47,228,1398,664,530,290,1609,215,29,23,23,28
unknown,unknown,unknown,2020-05-03,0,1,10,7,1,5,9,23,319,37,1895,611,514,1018,96,8,17,2,20
unknown,unknown,unknown,2020-05-04,3,1,9,5,33,37,30,15,86,434,1024,3238,462,1141,33,30,19,21,6
unknown,unknown,unknown,2020-05-05,3,1,4,9,47,11,29,6,70,704,1716,829,811,479,86,15,13,12,1
unknown,unknown,unknown,2020-05-06,0,1,12,7,8,34,33,0,472,38,1209,3100,703,88,92,35,15,15,0
unknown,unknown,unknown,2020-05-07,4,3,8,0,49,29,9,16,409,1148,788,1779,712,23,130,27,18,0,12
unknown,unknown,unknown,2020-05-08,3,0,0,4,18,12,29,32,32,1172,1974,2002,559,325,16,34,1,22,24
unknown,unknown,unknown,2020-05-09,3,3,7,2,25,41,22,32,388,401,3003,1215,185,377,37,45,15,18,24
unknown,unknown,unknown,2020-05-10,2,2,0,7,2,37,14,33,373,1353,1377,3322,494,664,68,2,26,3,32
unknown,unknown,unknown,2020-05-11,4,2,12,1,16,30,34,29,341,1321,3330,2196,887,409,171,10,20,6,33
unknown,unknown,unknown,2020-05-12,3,0,1,7,55,17,55,19,243,1387,3334,2258,611,198,209,5,2,4,5
unknown,unknown,unknown,2020-05-13,1,1,3,10,38,41,37,31,203,1387,686,1653,428,1176,217,46,20,2,32
unknown,unknown,unknown,2020-05-14,0,1,5,9,20,46,25,47,254,12,3750,3197,723,351,60,52,23,14,22
unknown,unknown,unknown,2020-05-15,2,1,0,7,13,10,46,9,317,984,2673,1760,683,839,90,3,0,5,34
unknown,unknown,unknown,2020-05-16,1,0,7,2,12,42,10,39,278,1267,3151,1113,776,1638,168,23,23,7,35
unknown,unknown,unknown,2020-05-17,0,0,10,3,35,30,28,39,176,462,3320,2232,759,660,201,17,8,6,5
unknown,unknown,unknown,2020-05-18,3,1,5,6,7,1,42,28,314,547,948,3323,461,1139,145,32,11,3,23
unknown,unknown,unknown,2020-05-19,4,2,10,1,19,53,47,18,190,804,528,482,460,111,109,37,30,5,30
unknown,unknown,unknown,2020-05-20,0,1,5,7,23,38,44,25,266,700,1751,785,710,668,135,59,19,4,4
unknown,unknown,unknown,2020-05-21,0,0,12,4,28,20,44,44,69,1406,3660,2523,294,1566,212,6,23,3,10
unknown,unknown,unknown,2020-05-22,3,0,8,10,52,19,37,38,251,8,1075,519,376,1030,133,31,11,4,15
unknown,unknown,unknown,2020-05-23,0,0,9,9,44,47,39,29,410,298,1606,381,811,1655,201,48,1,11,14
unknown,unknown,unknown,2020-05-24,2,2,1,2,49,14,31,10,384,877,2009,1759,519,1445,61,36,4,16,38
unknown,unknown,unknown,2020-05-25,2,3,4,7,62,57,46,43,418,278,1415,2387,240,47,196,47,20,9,34
unknown,unknown,unknown,2020-05-26,0,3,11,1,33,36,52,4,439,91,1380,2326,124,256,203,33,5,23,5
unknown,unknown,unknown,2020-05-27,1,3,5,2,55,14,3,13,303,804,3468,208,64,1565,197,42,1,22,3
unknown,unknown,unknown,2020-05-28,0,3,11,9,33,33,35,0,343,222,2296,3119,669,1216,200,45,27,18,34
unknown,unknown,unknown,2020-05-29,3,1,8,2,51,5,46,48,381,95,928,2708,425,831,57,55,27,2,3
unknown,unknown,unknown,2020-05-30,1,2,12,2,19,26,30,48,2,618,2844,2684,740,1477,221,5,5,4,38
unknown,unknown,unknown,2020-05-31,1,2,9,8,63,11,44,25,402,951,1269,1495,879,1454,202,48,10,0,31
unknown,unknown,unknown,2020-06-01,1,2,7,1,8,33,9,20,153,832,3,1757,287,364,184,53,27,18,33
unknown,unknown,unknown,2020-06-02,2,2,11,8,63,25,51,27,388,1140,1983,886,625,101,99,58,11,16,40
unknown,unknown,unknown,2020-06-03,2,2,10,3,54,15,18,43,311,1322,2190,1166,830,1474,6,41,15,14,0
unknown,unknown,unknown,2020-06-04,3,1,7,8,12,10,22,5,31,1160,383,408,916,1118,151,29,2,15,22
unknown,unknown,unknown,2020-06-05,0,1,11,6,27,8,36,19,471,151,2275,749,771,800,162,40,23,5,18
unknown,unknown,unknown,2020-06-06,0,0,7,10,1,12,3,33,85,1167,2446,1739,195,1230,16,52,22,21,35
unknown,unknown,unknown,2020-06-07,3,1,12,6,36,10,48,21,17,375,1217,2515,174,1162,140,32,1,7,3
unknown,unknown,unknown,2020-06-08,3,3,4,2,13,47,38,42,216,64,3604,1278,698,1379,104,54,30,17,15
unknown,unknown,unknown,2020-06-09,0,2,4,1,6,12,35,42,353,231,2136,1489,29,772,206,45,16,1,19
unknown,unknown,unknown,2020-06-10,3,0,0,9,61,8,9,45,398,626,3152,1511,241,338,179,53,15,8,38
unknown,unknown,unknown,2020-06-11,0,2,1,7,63,51,51,13,192,1125,1526,3280,531,362,203,57,29,3,15
unknown,unknown,unknown,2020-06-12,0,0,7,5,4,30,9,5,472,1315,3250,2678,420,1402,23,45,9,4,9
unknown,unknown,unknown,2020-06-13,0,2,11,7,36,59,27,9,450,980,1856,1253,320,1281,116,59,2,11,13
unknown,unknown,unknown,2020-06-14,1,2,3,10,33,31,11,13,423,460,499,783,760,1604,47,16,17,1,32
unknown,unknown,unknown,2020-06-15,1,3,9,0,4,11,1,17,395,1349,504,321,355,1136,31,48,22,12,0
unknown,unknown,unknown,2020-06-16,1,3,1,2,49,59,32,6,435,1249,1478,1655,50,1224,50,43,27,10,22
unknown,unknown,unknown,2020-06-17,2,0,1,1,2,43,50,37,223,229,842,1925,865,411,22,52,27,7,30
unknown,unknown,unknown,2020-06-18,1,0,11,10,35,12,34,21,226,622,2425,266,837,1499,168,14,19,23,28
unknown,unknown,unknown,2020-06-19,4,3,8,7,24,4,3,9,5,679,3102,1075,727,1105,122,60,5,10,0
unknown,unknown,unknown,2020-06-20,3,0,4,2,59,39,8,21,474,337,245,549,904,752,161,49,24,24,10
unknown,unknown,unknown,2020-06-21,2,3,0,5,16,55,11,48,289,901,3824,166,481,76,129,17,3,0,23
unknown,unknown,unknown,2020-06-22,2,2,1,7,21,16,22,30,192,1108,2102,1522,314,1627,66,18,3,13,0
unknown,unknown,unknown,2020-06-23,2,0,12,0,41,39,35,40,279,1044,1,1737,327,94,110,55,29,15,34
unknown,unknown,unknown,2020-06-24,4,1,3,4,17,54,45,3,129,804,113,1786,550,463,19,54,25,22,38
unknown,unknown,unknown,2020-06-25,1,2,0,0,25,42,9,9,206,485,2766,870,854,75,154,53,1,4,9
unknown,unknown,unknown,2020-06-26,2,1,0,8,1,11,3,45,342,1191,1959,3300,700,695,19,34,9,8,40
unknown,unknown,unknown,2020-06-27,0,1,1,1,35,25,19,37,423,303,1370,517,355,705,64,12,3,13,5
unknown,unknown,unknown,2020-06-28,3,1,11,9,39,19,45,26,218,790,316,1118,747,617,210,41,6,15,2
unknown,unknown,unknown,2020-06-29,3,0,4,3,7,38,36,34,405,112,1617,162,789,1162,46,50,10,5,9
unknown,unknown,unknown,2020-06-30,0,2,11,8,59,51,1,42,30,840,2469,293,702,1012,151,55,17,24,7
unknown,unknown,unknown,2020-07-01,4,0,12,4,52,8,54,35,9,1203,656,79,139,984,189,21,14,23,37
unknown,unknown,unknown,2020-07-02,2,2,8,10,44,53,39,0,46,697,3399,2199,828,69,215,42,4,0,10
unknown,unknown,unknown,2020-07-03,3,2,1,7,60,48,0,47,222,141,2016,2303,747,959,140,57,28,18,22
unknown,unknown,unknown,2020-07-04,2,0,6,4,1,39,31,28,226,1206,3032,729,381,765,90,9,27,7,37
unknown,unknown,unknown,2020-07-05,0,0,7,4,62,37,22,24,416,796,1056,3258,220,1298,90,51,13,8,39
unknown,unknown,unknown,2020-07-06,0,3,2,3,28,25,8,13,472,1304,6,2220,117,1348,221,4,7,10,29
unknown,unknown,unknown,2020-07-07,0,3,3,3,2,56,18,39,470,1428,859,1401,522,1036,61,41,0,5,17
unknown,unknown,unknown,2020-07-08,1,0,8,6,41,26,20,37,10,775,1772,1780,707,270,75,55,10,9,4
unknown,unknown,unknown,2020-07-09,1,3,10,3,21,13,35,10,416,552,2041,667,795,1408,205,10,25,13,19
unknown,unknown,unknown,2020-07-10,2,0,8,0,46,20,5,45,199,534,962,901,873,1,59,49,0,22,16
unknown,unknown,unknown,2020-07-11,2,1,6,6,57,26,27,29,467,964,280,1170,869,727,57,44,10,20,34
unknown,unknown,unknown,2020-07-12,1,2,2,7,27,17,31,24,48,427,546,330,545,584,6,53,15,3,6
unknown,unknown,unknown,2020-07-13,0,0,11,0,56,21,45,17,294,1229,2250,3113,835,544,109,33,20,1,7
unknown,unknown,unknown,2020-07-14,0,2,1,8,44,4,39,40,402,1192,1125,3109,871,1231,179,13,14,12,37
unknown,unknown,unknown,2020-07-15,4,2,11,6,0,48,21,17,398,372,3095,1891,328,582,44,42,3,14,22
unknown,unknown,unknown,2020-07-16,2,0,3,4,54,39,9,38,10,186,1918,1434,724,114,66,43,27,13,13
unknown,unknown,unknown,2020-07-17,3,1,1,10,43,7,50,42,424,888,1110,940,342,1688,161,4,29,20,21
unknown,unknown,unknown,2020-07-18,0,0,7,2,12,24,37,17,2,1065,1551,1395,258,539,85,35,26,12,35
unknown,unknown,unknown,2020-07-19,0,2,7,0,23,40,13,38,352,1390,995,1910,563,1558,43,19,5,1,8
unknown,unknown,unknown,2020-07-20,4,3,10,3,24,12,4,11,228,138,3248,1468,446,1370,219,53,12,20,34
unknown,unknown,unknown,2020-07-21,0,2,0,7,34,5,15,17,361,1257,2662,1154,695,1666,58,13,14,17,20
unknown,unknown,unknown,2020-07-22,4,3,4,3,24,10,39,43,17,1120,2555,29,281,653,98,50,25,10,38
unknown,unknown,unknown,2020-07-23,4,0,9,7,44,59,25,27,330,732,922,2457,628,1515,13,21,25,2,11
unknown,unknown,unknown,2020-07-24,1,0,8,6,59,41,2,19,384,219,884,1593,541,114,20,3,13,7,4
unknown,unknown,unknown,2020-07-25,1,3,8,1,28,44,37,34,460,167,1113,2818,54,1417,120,35,11,13,10
unknown,unknown,unknown,2020-07-26,4,3,4,4,29,13,4,17,156,42,37,3063,562,861,35,27,20,23,23
unknown,unknown,unknown,2020-07-27,3,2,0,9,20,37,26,23,345,1051,1738,2698,426,787,85,28,16,19,34
unknown,unknown,unknown,2020-07-28,2,1,8,5,48,34,25,23,20,901,2080,976,921,1525,179,50,16,2,14
unknown,unknown,unknown,2020-07-29,0,1,10,5,35,44,50,33,209,841,2899,268,706,1289,178,16,6,21,3
unknown,unknown,unknown,2020-07-30,2,1,4,2,1,23,35,17,121,1327,2462,1497,441,1,62,30,19,13,29
unknown,unknown,unknown,2020-07-31,1,2,10,9,47,36,23,33,420,168,1242,1705,494,1059,207,10,20,8,31
unknown,unknown,unknown,2020-08-01,4,3,5,4,40,32,34,10,33,911,36,1128,646,1121,34,47,13,2,28
unknown,unknown,unknown,2020-08-02,1,3,8,4,59,32,52,3,297,467,385,2435,166,1190,121,53,8,11,36
unknown,unknown,unknown,2020-08-03,2,1,11,0,15,46,22,21,87,1145,1225,1775,71,1486,167,33,5,15,37
unknown,unknown,unknown,2020-08-04,3,0,4,4,35,33,2,36,356,1205,989,131,875,639,196,0,24,0,14
unknown,unknown,unknown,2020-08-05,2,3,6,5,6,1,3,30,83,840,653,959,277,1675,36,54,7,24,24
unknown,unknown,unknown,2020-08-06,0,1,2,2,22,17,50,44,30,424,2273,134,174,284,136,0,7,24,5
unknown,unknown,unknown,2020-08-07,3,2,2,1,63,49,21,8,476,1123,3267,1540,49,1226,56,54,7,3,5
unknown,unknown,unknown,2020-08-08,0,0,3,4,45,24,35,36,428,648,163,1386,351,1056,112,8,14,4,34
unknown,unknown,unknown,2020-08-09,0,3,9,2,46,48,38,7,386,1328,965,522,452,65,13,29,6,10,4
unknown,unknown,unknown,2020-08-10,3,3,5,0,11,4,37,15,461,483,2447,2366,765,1378,48,4,19,0,12
unknown,unknown,unknown,2020-08-11,0,2,2,2,6,47,13,28,4,209,3572,2291,825,1008,37,48,16,15,17
unknown,unknown,unknown,2020-08-12,0,1,2,10,58,6,52,20,73,419,2353,2043,563,396,170,60,20,20,36
unknown,unknown,unknown,2020-08-13,2,2,3,0,41,44,46,41,27,362,3107,416,109,1213,6,33,12,6,27
unknown,unknown,unknown,2020-08-14,0,0,6,9,20,36,44,19,287,712,1501,1609,363,1170,92,57,29,16,22
unknown,unknown,unknown,2020-08-15,2,0,11,0,22,9,36,24,118,1406,2386,1221,103,1000,176,50,30,10,2
unknown,unknown,unknown,2020-08-16,0,3,12,0,9,46,33,46,136,1227,810,1992,354,290,119,56,11,14,22
unknown,unknown,unknown,2020-08-17,1,0,4,8,41,30,5,44,336,980,163,1115,505,1497,191,50,28,20,35
unknown,unknown,unknown,2020-08-18,2,1,6,8,29,16,30,20,185,462,543,1854,740,1187,137,45,9,0,22
